ports,MC,degree,eigenvector,betweenness,ISO3
749,7120.5,23,0.012075171,0.000383082,SYC
750,296.5,13,0.010072559,1.36317E-06,NZL
751,1728,17,0.009002858,2.78218E-05,PNG
752,2059,19,0.008703681,0.000147507,PNG
753,3684.166667,23,0.011064441,8.10417E-05,THA
754,944.1666667,15,0.006283152,9.09407E-05,PNG
755,944.1666667,15,0.006283152,9.09407E-05,PNG
756,2544,18,0.008358431,0.000154111,PNG
757,9526.5,28,0.009087209,0.001406913,IDN
758,0,6,0.004073806,0,MYS
759,31.66666667,8,0.004736388,8.13078E-07,MYS
760,2447.333333,15,0.007097436,0.0003434,IDN
761,4957.833333,22,0.01005244,0.000324328,MOZ
762,3982.166667,20,0.008972003,0.000493632,MOZ
763,344.8333333,10,0.004766109,4.49146E-06,MDG
764,0,8,0.003669405,0,TZA
765,0,3,0.00243429,0,CXR
766,0,3,0.00243429,0,CRI
767,40.33333333,4,0.002624986,7.4474E-06,TLS
768,0,3,0.002125154,0,IDN
769,1675.833333,16,0.008600722,0.000337379,AUS
770,0,11,0.007471492,0,NZL
771,274.5,14,0.008966234,2.80488E-06,NZL
772,0,3,0.003369177,0,BGD
773,2432.166667,16,0.006290396,0.000250297,IDN
774,3370.333333,22,0.00469548,0.000545985,IDN
775,0,2,0.001290791,0,VNM
776,0,3,0.001675085,0,VEN
777,0,3,0.001675085,0,VEN
778,27.16666667,4,0.000960403,3.04904E-07,JAM
779,0,3,0.000876462,0,VEN
780,0,1,0.000564157,0,CUB
781,536.1666667,10,0.005012509,8.66548E-06,SLB
782,635.1666667,11,0.003093523,3.02623E-05,PNG
783,302.1666667,8,0.005181898,5.32328E-05,SDN
784,1043.833333,13,0.005618632,2.09006E-05,SOM
785,0,2,0.002132808,0,OMN
786,340.6666667,9,0.00458593,3.29406E-05,SOM
787,170.3333333,6,0.003007197,4.93674E-06,YEM
788,0,11,0.002096454,0,IDN
789,0,11,0.002096454,0,IDN
790,0,11,0.002096454,0,IDN
791,0,11,0.002096454,0,IDN
792,0,11,0.002096454,0,IDN
793,0,12,0.001699542,0,IDN
794,0,12,0.001699542,0,IDN
795,169.8333333,13,0.002086941,2.84577E-06,IDN
796,31.33333333,13,0.001718217,3.90277E-06,IDN
797,0,12,0.001699542,0,IDN
798,0,12,0.001699542,0,IDN
799,0,12,0.001699542,0,IDN
800,0,12,0.001699542,0,IDN
801,0,5,0.001507932,0,IDN
802,0,2,0.001258333,0,IDN
803,2733,20,0.006236831,0.000107464,ARE
804,120,9,0.004423041,3.05008E-06,KWT
805,31.33333333,5,0.002835757,2.71026E-07,KWT
806,0,5,0.003044044,0,PAK
807,0,6,0.00160514,0,ARE
808,0,6,0.00160514,0,IRQ
809,0,6,0.00160514,0,IRQ
810,0,6,0.00160514,0,IRQ
811,0,2,0.001584199,0,IRN
812,187.3333333,7,0.003589207,1.47446E-05,YEM
813,0,6,0.002034005,0,ARE
814,578.3333333,12,0.003028264,4.91859E-05,ARE
815,0,6,0.002034005,0,ARE
816,0,6,0.002034005,0,ARE
817,18,6,0.001960924,4.87847E-07,IRN
818,0,5,0.001671753,0,IRN
819,18,6,0.001960924,4.87847E-07,IRN
820,0,7,0.004206921,0,SOM
821,978.6666667,15,0.003384796,0.001745506,MYT
822,212.3333333,9,0.002576756,3.9726E-05,TZA
823,609.5,12,0.003558429,5.14144E-05,MDG
824,1640.833333,16,0.003593464,0.001253303,COM
825,1640.833333,16,0.003593464,0.001253303,COM
826,0,5,0.002328458,0,LBY
827,0,3,0.001639524,0,ERI
828,23.33333333,5,0.002819763,4.87847E-07,YEM
829,0,2,0.001088179,0,EGY
830,0,4,0.000701424,0,TUR
831,0,1,0.000693063,0,ARE
832,0,5,0.000564785,0,IND
833,0,5,0.000564785,0,IND
834,0,5,0.000564785,0,IND
835,0,5,0.000564785,0,IND
836,413.6666667,20,0.002729431,1.88296E-05,PHL
837,413.6666667,20,0.002729431,1.88296E-05,PHL
838,26.16666667,16,0.002315102,1.39702E-06,PHL
839,45.66666667,17,0.002347498,2.19446E-06,PHL
840,39.16666667,12,0.002195469,1.03459E-06,PHL
